S.No.,Country / Region,2023-2024,2024-2025,%Growth,,,
1,AFGHANISTAN,503.33,652.88,29.71,,,
2,ALBANIA,6.96,13.31,91.11,,,
3,ALGERIA,416.37,324.47,-22.07,,,
4,ANGOLA,447.88,596.46,33.17,,,
5,ANGUILLA,0.74,0.62,-16.22,,,
6,ANTIGUA,3.35,3.39,1.00,,,
7,ARGENTINA,64.55,62.47,-3.23,,,
8,ARMENIA,18.96,13.82,-27.10,,,
9,ARUBA,0.08,0.08,8.57,,,
10,AUSTRALIA,"3,261.29","3,549.77",8.85,,,
11,AUSTRIA,60.87,73.28,20.40,,,
12,AZERBAIJAN,42.85,62.62,46.15,,,
13,BAHAMAS,9.49,9.82,3.49,,,
14,BAHARAIN IS,62.08,58.45,-5.85,,,
15,BANGLADESH PR,118.37,96.81,-18.22,,,
16,BARBADOS,20.27,15.23,-24.87,,,
17,BELARUS,136.56,151.54,10.97,,,
18,BELGIUM,"2,654.76","2,596.34",-2.20,,,
19,BELIZE,11.43,7.64,-33.18,,,
20,BENIN,136.37,150.22,10.15,,,
21,BERMUDA,0.13,0.25,96.29,,,
22,BHUTAN,39.55,38.48,-2.69,,,
23,BOLIVIA,127.09,114.23,-10.12,,,
24,BOSNIA-HRZGOVIN,18.51,17.76,-4.04,,,
25,BOTSWANA,222.31,168.16,-24.36,,,
26,BR VIRGN IS,2.08,2.51,20.83,,,
27,BRAZIL,"3,079.81","3,270.43",6.19,,,
28,BRUNEI,2.64,2.33,-11.71,,,
29,BULGARIA,72.80,66.91,-8.09,,,
30,BURKINA FASO,180.86,188.59,4.28,,,
31,BURUNDI,69.23,62.03,-10.41,,,
32,C AFRI REP,40.77,29.35,-28.02,,,
33,CAMBODIA,430.00,381.01,-11.39,,,
34,CAMEROON,448.91,603.94,34.53,,,
35,CANADA,"3,252.02","4,174.81",28.38,,,
36,CAPE VERDE IS,1.39,2.18,57.26,,,
37,CAYMAN IS,15.00,19.83,32.17,,,
38,CHAD,226.75,257.94,13.75,,,
39,CHILE,"1,403.99","1,606.51",14.43,,,
40,CHINA P RP,597.20,643.36,7.73,,,
41,COLOMBIA,747.81,914.91,22.35,,,
42,COMOROS,6.43,9.20,43.20,,,
43,CONGO D. REP.,"1,096.91",901.36,-17.83,,,
44,CONGO P REP,97.80,107.56,9.98,,,
45,COSTA RICA,135.66,214.04,57.78,,,
46,COTE D' IVOIRE,271.53,317.84,17.05,,,
47,CROATIA,81.45,91.98,12.93,,,
48,CUBA,13.54,15.26,12.70,,,
49,CURACAO,,0.43,,,,
50,CYPRUS,50.75,43.60,-14.10,,,
51,CZECH REPUBLIC,404.20,325.49,-19.47,,,
52,DENMARK,291.01,345.89,18.86,,,
53,DJIBOUTI,135.63,100.66,-25.78,,,
54,DOMINIC REP,415.65,529.26,27.33,,,
55,DOMINICA,4.45,3.04,-31.52,,,
56,ECUADOR,313.87,278.11,-11.39,,,
57,EGYPT A RP,59.97,97.21,62.08,,,
58,EL SALVADOR,218.74,215.76,-1.36,,,
59,EQUTL GUINEA,19.83,15.02,-24.23,,,
60,ERITREA,20.74,22.81,9.98,,,
61,ESTONIA,3.20,2.04,-36.29,,,
62,ETHIOPIA,"1,210.13","1,032.78",-14.66,,,
63,FIJI IS,34.19,37.67,10.18,,,
64,FINLAND,699.57,446.16,-36.22,,,
65,FR GUIANA,0.00,,,,,
66,FR POLYNESIA,,0.01,,,,
67,FRANCE,"4,346.93","4,843.22",11.42,,,
68,GABON,13.41,26.03,94.15,,,
69,GAMBIA,47.25,70.42,49.02,,,
70,GEORGIA,208.81,173.46,-16.93,,,
71,GERMANY,"2,592.95","2,978.90",14.88,,,
72,GHANA,"1,355.93","1,679.06",23.83,,,
73,GIBRALTAR,0.01,0.02,302.20,,,
74,GREECE,96.02,201.75,110.11,,,
75,GRENADA,3.58,4.33,21.02,,,
76,GUADELOUPE,0.03,0.03,-15.84,,,
77,GUAM,0.73,0.01,-99.21,,,
78,GUATEMALA,536.43,648.44,20.88,,,
79,GUINEA,167.72,119.85,-28.54,,,
80,GUINEA BISSAU,13.76,20.06,45.76,,,
81,GUYANA,84.05,107.60,28.02,,,
82,HAITI,186.45,109.72,-41.15,,,
83,HONDURAS,262.11,242.79,-7.37,,,
84,HONG KONG,220.05,289.89,31.74,,,
85,HUNGARY,599.50,677.51,13.01,,,
86,ICELAND,0.20,3.39,"1,555.62",,,
87,INDONESIA,251.02,300.33,19.64,,,
88,IRAN,77.52,43.00,-44.52,,,
89,IRAQ,"1,000.80","1,354.67",35.36,,,
90,IRELAND,149.05,179.95,20.73,,,
91,ISRAEL,101.86,72.29,-29.03,,,
92,ITALY,505.21,489.33,-3.14,,,
93,JAMAICA,277.67,226.95,-18.27,,,
94,JAPAN,726.05,744.06,2.48,,,
95,JORDAN,355.86,143.89,-59.56,,,
96,KAZAKHSTAN,612.03,728.56,19.04,,,
97,KENYA,"2,510.43","2,595.08",3.37,,,
98,KIRIBATI REP,0.79,2.75,250.46,,,
99,KOREA DP RP,0.39,3.72,846.91,,,
100,KOREA RP,216.35,249.80,15.46,,,
101,KUWAIT,63.41,88.72,39.93,,,
102,KYRGHYZSTAN,91.93,115.15,25.26,,,
103,LAO PD RP,35.21,42.92,21.91,,,
104,LATVIA,780.94,"1,301.74",66.69,,,
105,LEBANON,124.11,109.72,-11.60,,,
106,LESOTHO,38.35,62.11,61.93,,,
107,LIBERIA,134.58,158.48,17.76,,,
108,LIBYA,122.20,78.83,-35.49,,,
109,LIECHTENSTEIN,0.26,0.03,-88.67,,,
110,LITHUANIA,129.43,70.29,-45.69,,,
111,LUXEMBOURG,,0.21,,,,
112,MACAO,0.56,0.78,38.45,,,
113,MACEDONIA,33.74,49.41,46.46,,,
114,MADAGASCAR,294.09,352.75,19.95,,,
115,MALAWI,232.28,303.82,30.80,,,
116,MALAYSIA,737.91,855.84,15.98,,,
117,MALDIVES,201.19,180.98,-10.04,,,
118,MALI,112.21,172.05,53.32,,,
119,MALTA,"1,625.81","1,865.39",14.74,,,
120,MARSHALL ISLAND,0.42,0.38,-10.45,,,
121,MARTINIQUE,0.06,0.09,41.72,,,
122,MAURITANIA,63.56,81.57,28.33,,,
123,MAURITIUS,589.22,458.58,-22.17,,,
124,MEXICO,"1,286.18","1,528.64",18.85,,,
125,MICRONESIA,1.78,1.80,1.20,,,
126,MOLDOVA,25.16,26.75,6.34,,,
127,MONACO,,0.00,,,,
128,MONGOLIA,45.79,51.03,11.43,,,
129,MONTENEGRO,0.62,20.44,"3,206.87",,,
130,MONTSERRAT,0.07,0.05,-32.65,,,
131,MOROCCO,360.34,544.13,51.01,,,
132,MOZAMBIQUE,"1,370.76","1,025.31",-25.20,,,
133,MYANMAR,"1,321.14","1,485.23",12.42,,,
134,N. MARIANA IS.,0.00,,,,,
135,NAMIBIA,175.38,199.54,13.78,,,
136,NEPAL,"1,625.41","1,824.98",12.28,,,
137,NETHERLAND,"3,033.65","3,128.60",3.13,,,
138,NETHERLANDANTIL,21.21,25.15,18.58,,,
139,NEW CALEDONIA,0.03,,,,,
140,NEW ZEALAND,486.01,472.72,-2.73,,,
141,NICARAGUA,199.02,225.56,13.34,,,
142,NIGER,46.43,96.75,108.37,,,
143,NIGERIA,"2,993.68","3,347.24",11.81,,,
144,NORWAY,0.01,0.20,"1,230.22",,,
145,OMAN,323.07,431.00,33.41,,,
146,PAKISTAN IR,328.67,483.77,47.19,,,
147,PALAU,0.31,0.62,100.38,,,
148,PANAMA REPUBLIC,139.72,193.79,38.70,,,
149,PAPUA N GNA,154.35,129.30,-16.23,,,
150,PARAGUAY,40.94,55.32,35.14,,,
151,PERU,574.98,698.36,21.46,,,
152,PHILIPPINES,"2,644.15","2,876.85",8.80,,,
153,POLAND,810.96,943.86,16.39,,,
154,PORTUGAL,85.50,86.35,1.00,,,
155,PUERTO RICO,0.34,0.03,-91.51,,,
156,QATAR,90.21,92.81,2.89,,,
157,REUNION,0.12,0.16,31.45,,,
158,ROMANIA,165.09,281.72,70.65,,,
159,RUSSIA,"2,898.59","3,213.28",10.86,,,
160,RWANDA,267.49,182.44,-31.80,,,
161,SAHARWI A.DM RP,,0.00,,,,
162,SAMOA,0.22,0.50,128.96,,,
163,SAO TOME,1.95,0.22,-88.67,,,
164,SAUDI ARAB,644.37,"1,190.69",84.78,,,
165,SENEGAL,491.07,471.47,-3.99,,,
166,SERBIA,42.74,62.77,46.87,,,
167,SEYCHELLES,28.57,27.38,-4.17,,,
168,SIERRA LEONE,417.27,500.15,19.86,,,
169,SINGAPORE,536.70,517.88,-3.51,,,
170,SLOVAK REP,28.93,11.65,-59.73,,,
171,SLOVENIA,832.95,928.27,11.44,,,
172,SOLOMON IS,7.56,8.75,15.73,,,
173,SOMALIA,303.76,358.17,17.91,,,
174,SOUTH AFRICA,"5,310.76","5,167.68",-2.69,,,
175,SOUTH SUDAN,57.98,41.14,-29.05,,,
176,SPAIN,572.60,587.98,2.69,,,
177,SRI LANKA DSR,"1,846.81","1,684.73",-8.78,,,
178,ST KITT N A,3.76,3.74,-0.54,,,
179,ST LUCIA,11.53,13.71,18.91,,,
180,ST VINCENT,3.40,3.98,17.09,,,
181,STATE OF PALEST,0.10,,,,,
182,SUDAN,453.96,555.36,22.34,,,
183,SURINAME,12.95,17.53,35.40,,,
184,SWAZILAND,93.17,29.44,-68.40,,,
185,SWEDEN,207.07,303.77,46.70,,,
186,SWITZERLAND,122.53,124.94,1.96,,,
187,SYRIA,8.30,22.02,165.19,,,
188,TAIWAN,115.53,172.67,49.46,,,
189,TAJIKISTAN,256.81,272.28,6.03,,,
190,TANZANIA REP,"1,923.15","1,541.11",-19.87,,,
191,THAILAND,"1,361.33","1,484.84",9.07,,,
192,TIMOR LESTE,10.71,7.61,-28.92,,,
193,TOGO,94.56,127.05,34.36,,,
194,TONGA,5.59,0.51,-90.84,,,
195,TRINIDAD,106.41,207.75,95.24,,,
196,TUNISIA,28.55,16.93,-40.70,,,
197,TURKEY,661.49,491.37,-25.72,,,
198,TURKMENISTAN,177.13,216.25,22.08,,,
199,TURKS C IS,0.71,0.68,-4.82,,,
200,TUVALU,0.07,0.00,-99.45,,,
201,U ARAB EMTS,"1,380.99","1,372.88",-0.59,,,
202,U K,"5,312.97","6,303.93",18.65,,,
203,U S A,"64,204.72","80,468.41",25.33,,,
204,UGANDA,941.95,683.17,-27.47,,,
205,UKRAINE,631.62,527.79,-16.44,,,
206,UNSPECIFIED,0.64,15.24,"2,265.88",,,
207,URUGUAY,44.19,32.84,-25.70,,,
208,UZBEKISTAN,844.21,747.63,-11.44,,,
209,VANUATU REP,9.82,7.32,-25.47,,,
210,VENEZUELA,612.67,792.22,29.31,,,
211,VIETNAM SOC REP,"1,187.31","1,194.15",0.58,,,
212,YEMEN REPUBLC,458.73,584.16,27.34,,,
213,ZAMBIA,633.63,538.23,-15.06,,,
214,ZIMBABWE,522.73,565.58,8.20,,,
Total,Total,162559.48,186518.9,14.74,,,
